Im	0 Desc.	Im.1	1 Asc.
		11.009417	199.401795
		11.037054	213.219616
		11.048657	187.09073899999999
		11.090191	227.014756
		11.093828	201.612903
		11.121928	199.600798
		11.175981	186.915888
		11.216946	199.203187
		11.208488000000001	213.219616
		11.261769000000001	199.401795
		11.242207	199.401795
		11.281839999999999	212.992545
		11.307129	199.600798
		11.344650999999999	213.44717200000002
		11.368894000000001	213.219616
		11.389292	213.675214
		11.413556	199.8002
		11.439207000000001	213.219616
		11.461114	199.8002
		11.495082	212.992545
		11.523187	213.90374300000002
		11.508175999999999	213.44717200000002
		11.558891000000001	213.675214
		11.5917	213.219616
		11.603506	213.44717200000002
		11.646243	213.90374300000002
		11.65725	213.44717200000002
		11.674922	199.600798
		11.706555	229.621125
		11.73502	213.90374300000002
		11.755932000000001	229.621125
		11.762542	229.621125
		11.80296	213.90374300000002
		11.809917	199.004975
		11.850488	214.132762
		11.860505	214.36227200000002
		11.902946	212.765957
		11.916201	213.90374300000002
		11.923986	229.095074
		11.954566999999999	214.36227200000002
		12.000036	229.357798
		11.99977	213.675214
		12.023402	229.621125
		12.077823	213.90374300000002
		12.065294	230.14959700000003
		12.078964	213.90374300000002
		12.121928	213.675214
		12.119242	213.219616
		12.139778999999999	230.14959700000003
		12.193603999999999	213.675214
		12.183753	213.675214
		12.235572	229.885057
		12.253438000000001	229.885057
		12.289375999999999	229.621125
		12.328634	229.68002
		12.332135000000001	229.621125
		12.346775	229.621125
		12.367965	229.357798
		12.390172	230.946882
		12.431169	230.14959700000003
		12.46272	213.675214
		12.470583	229.621125
		12.488186	229.401795
		12.499217	270.27027000000004
		12.51871	215.28525299999998
		12.559763	212.53985099999997
		12.584796	249.68788999999998
		12.588164	229.885057
		12.624802	230.68050699999998
		12.656697	247.831475
		12.66195	230.41474700000003
		12.670272	248.756219
		12.718625	230.14959700000003
		12.711735000000001	249.066002
		12.751996	214.592275
		12.76412	229.095074
		12.790122	213.90374300000002
		12.798733	248.756219
		12.823833	229.609732
		12.876563	250.312891
		12.909674	229.885057
		12.935367999999999	248.756219
		12.943736999999999	248.756219
		12.973232000000001	249.376559
